model_id,model_label,stage,covariate_set,outcome,outcome_label,formula,term_label,p_label,term,estimate,robust_se,statistic,p_value,conf_low,conf_high
S6_z_female_LC_YLL_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,Population aged 65+ (z),<0.001,z_age65,0.6156511613352162,0.13928332524502654,4.420135434390052,1.852730705883453e-5,0.3426558438549642,0.8886464788154682
S6_z_female_LC_YLL_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelAmericas,0.053,WHO_region_modelAmericas,-0.1932418298827603,0.09890335455216927,-1.9538450516441244,0.05253141114389125,-0.38709240480501206,6.087450394914595e-4
S6_z_female_LC_YLL_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelEastern Mediterranean,0.235,WHO_region_modelEastern Mediterranean,-0.10698048359456518,0.089713098885847,-1.1924733948906345,0.23490984526927786,-0.2828181574108253,0.06885719022169494
S6_z_female_LC_YLL_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelEuropean,0.427,WHO_region_modelEuropean,-0.14414205816249825,0.18103761484200145,-0.7961994985865043,0.4271417371275128,-0.4989757832528211,0.2106916669278246
S6_z_female_LC_YLL_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelSouth-East Asia,0.551,WHO_region_modelSouth-East Asia,0.15780385886410636,0.26400923881364796,0.5977209720887566,0.5509040631243209,-0.35965424921064365,0.6752619669388564
S6_z_female_LC_YLL_sensitivity_SDI,Sensitivity: SDI + urbanisation + age65 + WHO region,Step 6,sensitivity_SDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_SDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelWestern Pacific,0.305,WHO_region_modelWestern Pacific,0.1849336438920982,0.1798723588254542,1.0281382036667204,0.3054969561335628,-0.167616179405792,0.5374834671899884
S6_z_female_LC_YLL_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,Intercept,0.332,(Intercept),0.076147649099138,0.07818598704551684,0.973929625711674,0.3318463401391665,-0.077096885510075,0.22939218370835102
S6_z_female_LC_YLL_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,Historical female smoking (z),0.001,z_historical_smoking,0.29043499382569116,0.08739062702792619,3.3234112593434184,0.001146794358662328,0.11914936485095584,0.4617206228004265
S6_z_female_LC_YLL_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,HDI (z),0.127,z_HDI,0.14031474704015034,0.091328884573574,1.536367685812626,0.1268061111993541,-0.038689866724054695,0.3193193608043554
S6_z_female_LC_YLL_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,Urbanisation (z),0.626,z_urbanisation,-0.026908644891689988,0.055047892974890454,-0.4888224314773337,0.6257665003911894,-0.13480251512247526,0.0809852253390953
S6_z_female_LC_YLL_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,Population aged 65+ (z),<0.001,z_age65,0.5328722083361379,0.13312894389902877,4.002677349715124,1.0316385389484988e-4,0.2719394782940415,0.7938049383782343
S6_z_female_LC_YLL_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelAmericas,0.038,WHO_region_modelAmericas,-0.20282739017440785,0.0968960259636738,-2.09324776901013,0.03821207329776009,-0.3927436010632085,-0.0129111792856072
S6_z_female_LC_YLL_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelEastern Mediterranean,0.102,WHO_region_modelEastern Mediterranean,-0.12579460525970382,0.0764302878617358,-1.6458737599846445,0.10213330852205083,-0.27559796946870596,0.024008758949298326
S6_z_female_LC_YLL_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelEuropean,0.373,WHO_region_modelEuropean,-0.15269616503053804,0.17088021720180768,-0.89358597227323,0.3731455274704081,-0.48762139074608113,0.18222906068500502
S6_z_female_LC_YLL_sensitivity_HDI,Sensitivity: HDI + urbanisation + age65 + WHO region,Step 6,sensitivity_HDI,z_female_LC_YLL,Female LC YLL,z_female_LC_YLL ~ z_historical_smoking + z_HDI + z_urbanisation + z_age65 + WHO_region_model,WHO_region_modelSouth-East Asia,0.443,WHO_region_modelSouth-East Asia,-0.10253065593454386,0.13315777654687108,-0.7699937517239439,0.44265891344765285,-0.36351989796641115,0.15845858609732344
