Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.,Table S6. Descriptive summaries by WHO region and income group.
Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.,Subtable 1. Descriptive by WHO region.
Group type,Group,Group N,Variable,Label,Domain,Unit,N,Median,Q1,Q3,Iqr,Min,Max,Range,Median iqr,Notes
WHO region,European,53,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,49,-0.134740980732652,-0.4620219345611748,0.248099795301891,0.7101217298630658,-1.0808617561680929,2.0695349124527667,-1.08 to 2.07,-0.13 (-0.46-0.25),Residual from Step 6 primary DALY model; positive values indicate excess DALY burden above first-stage expectation.
WHO region,South-East Asia,10,historical female smoking,Historical female smoking,Tobacco exposure,%,10,7.633333333333333,2.891666666666667,10.525,7.633333333333333,0.0,27.566666666666663,0.00 to 27.57,7.63 (2.89-10.53),"Mean of female smoking prevalence in 2000, 2005, and 2010."
WHO region,South-East Asia,10,female smoking 2022,Current female smoking,Tobacco exposure,%,10,2.05,0.675,3.625,2.95,0.0,5.4,0.00 to 5.40,2.05 (0.68-3.62),Female age-standardized current tobacco smoking prevalence in 2022.
WHO region,South-East Asia,10,clean fuel deficit,Clean-fuel deficit,Household energy,percentage points,10,60.8,20.074999999999996,73.525,53.45000000000001,0.4000000000000057,87.9,0.40 to 87.90,60.80 (20.07-73.53),100 minus national clean fuel access in 2020.
WHO region,South-East Asia,10,rural clean fuel disadvantage,Rural clean-fuel disadvantage,Household energy,percentage points,10,33.9,16.449999999999996,45.7,29.250000000000007,0.4000000000000057,54.8,0.40 to 54.80,33.90 (16.45-45.70),Urban clean fuel access minus rural clean fuel access in 2020.
WHO region,South-East Asia,10,PM2.5 2019,PM2.5,Ambient pollution,ug/m3,10,26.630020000000002,24.06801,40.203167500000006,16.135157500000005,13.00334,50.17359,13.00 to 50.17,26.63 (24.07-40.20),National annual mean PM2.5 in 2019.
WHO region,South-East Asia,10,female LC mort 2021,Female lung cancer mortality,Lung cancer burden,"per 100,000",10,4.834827899932861,4.298383951187134,11.073528409004213,6.775144457817079,3.56744647026062,45.48320007324219,3.57 to 45.48,4.83 (4.30-11.07),"Female trachea, bronchus, lung cancer mortality rate in 2021."
WHO region,South-East Asia,10,female LC YLL 2021,Female lung cancer YLL,Lung cancer burden,"per 100,000",10,124.68179321289062,107.23659896850586,286.88257217407227,179.6459732055664,90.5676727294922,953.3445434570312,90.57 to 953.34,124.68 (107.24-286.88),"Female trachea, bronchus, lung cancer years of life lost rate in 2021."
WHO region,South-East Asia,10,female LC DALY 2021,Female lung cancer DALY,Lung cancer burden,"per 100,000",10,125.4291959610896,108.04999001988944,288.9232933507669,180.8733033308775,91.31120314968264,958.3100208869768,91.31 to 958.31,125.43 (108.05-288.92),"Female trachea, bronchus, lung cancer disability-adjusted life years rate in 2021."
WHO region,South-East Asia,10,multiple-exposure score,multiple-exposure score,Composite exposure,z-score index,10,0.25663323143797245,-0.18388014748816603,0.49851118060335636,0.6823913280915224,-0.6573313031296567,0.7088119019016531,-0.66 to 0.71,0.26 (-0.18-0.50),"Mean of z-current smoking, z-clean-fuel deficit, and z-PM2.5; complete cases only."
WHO region,South-East Asia,10,mortality-based smoking-adjusted burden residual,mortality-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,9,0.0096691740593905,-0.0379078187969616,0.0463227729827176,0.0842305917796792,-0.3960550114505207,0.3630202643112526,-0.40 to 0.36,0.01 (-0.04-0.05),Residual from Step 6 primary mortality model; positive values indicate mortality burden residual above first-stage expectation.
WHO region,South-East Asia,10,YLL-based smoking-adjusted burden residual,YLL-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,9,-0.0509635609073273,-0.127400489709394,0.124697087415339,0.252097577124733,-0.3770904993881471,0.4423607454211442,-0.38 to 0.44,-0.05 (-0.13-0.12),Residual from Step 6 primary YLL model; positive values indicate excess YLL burden above first-stage expectation.
WHO region,South-East Asia,10,DALY-based smoking-adjusted burden residual,DALY-based smoking-adjusted burden residual,Historical-smoking-adjusted burden,residual z-score,9,-0.0501415282430209,-0.1272917398077799,0.1212007864458706,0.2484925262536505,-0.3759870385465533,0.4399438802100677,-0.38 to 0.44,-0.05 (-0.13-0.12),Residual from Step 6 primary DALY model; positive values indicate excess DALY burden above first-stage expectation.
WHO region,Western Pacific,29,historical female smoking,Historical female smoking,Tobacco exposure,%,25,13.333333333333334,5.533333333333334,24.133333333333336,18.6,1.9666666666666668,58.1,1.97 to 58.10,13.33 (5.53-24.13),"Mean of female smoking prevalence in 2000, 2005, and 2010."
